implementation,method,support_low,support_high,nDCG,nDCG_10,nDCG_100,Pearson,Spearman
adaptive,delta,0.049,0.0525,0.6965231780345373,0.029988645837144168,0.05634357760908548,0.0027623898210733947,0.009396725186951149
adaptive,delta,0.0525,0.0551,0.7030268964130448,0.05264159484400812,0.0811381535803377,0.00553780942273244,0.00814272335708051
adaptive,delta,0.0551,0.0581,0.696165282076248,0.04250533839994787,0.06532504449304385,0.0036373337164280297,0.00903352985692312
adaptive,delta,0.0581,0.0615,0.7024629191358839,0.07927633178447344,0.11346107575063749,0.00697691986232474,0.00429873790904991
adaptive,delta,0.0615,0.0658,0.7016937221341233,0.044824890807578475,0.06134115759594383,0.006896262729856641,0.01157852830920891
adaptive,delta,0.0658,0.0704,0.7199862490249218,0.06469380317956772,0.08500813588124459,0.0058114711001127205,0.007858571513182219
adaptive,delta,0.0704,0.0765,0.7077581029118015,0.08685313651944307,0.120172763526458,0.00920077275422021,0.00504339416266237
adaptive,delta,0.0765,0.0849,0.7157203557093572,0.09831459036755512,0.127767934392753,0.0078065925162747,0.0040695589965666894
adaptive,delta,0.0849,0.096,0.744239160609806,0.12791723083150322,0.17068138068131508,0.00635765665256204,0.0012469131590233998
adaptive,delta,0.096,0.109,0.7315749201865448,0.041223628767874325,0.0778768384312051,0.00363558922020484,0.01408691364734056
adaptive,delta,0.109,0.131,0.7500041737493861,0.032881337472362944,0.08691611745551463,-0.00399654128361615,0.00720598121432168
adaptive,delta,0.131,0.186,0.7637775006857982,0.11703331657483637,0.16060311108152914,0.0045186043714677705,0.006548855015879709
adaptive,delta,0.186,0.992,0.8091978815965,0.16469397095329052,0.21975551321717854,-0.0019221610757202603,0.0035508597759776697
adaptive,random,0.049,0.0525,0.6981974720334899,0.06616592242366826,0.0840602306054283,8.578539077865407e-06,0.0006241039165783137
adaptive,random,0.0525,0.0551,0.7038387183105225,0.08015821239576398,0.08613132145589886,0.00013781380276053998,-9.091183169014003e-05
adaptive,random,0.0551,0.0581,0.6980191364323227,0.06521387108947717,0.08086331011346118,5.6836992114550015e-05,-0.00039954535609749
adaptive,random,0.0581,0.0615,0.6988322516216706,0.07416973977635742,0.08498942520032916,-0.0005826171256806407,-0.00060222595960019
adaptive,random,0.0615,0.0658,0.7036991549040041,0.08008076779095534,0.08601048545589349,9.995793948714004e-05,0.00031822329334016
adaptive,random,0.0658,0.0704,0.7184465237126922,0.08295296338093397,0.09347244740095115,0.00098021529005315,0.001378597921938886
adaptive,random,0.0704,0.0765,0.7051936940114405,0.0751003123699148,0.08696826383812777,-0.00075881148607813,-0.00060822540565634
adaptive,random,0.0765,0.0849,0.7113475327682706,0.08611316238782032,0.09877902944468082,-0.0013181985874565485,-0.0008211699956126899
adaptive,random,0.0849,0.096,0.7394629012700624,0.11477469716686692,0.12667335155449944,3.906566322902003e-05,0.00025550061256845996
adaptive,random,0.096,0.109,0.7344097231484558,0.11972961082088998,0.1276543707069179,0.00021716365800174,0.00025521273099317603
adaptive,random,0.109,0.131,0.7547902822264857,0.1680009593320994,0.17021437140078743,-0.00021719647111351003,-0.00020461760830284005
adaptive,random,0.131,0.186,0.7629805949809215,0.15689634519517573,0.17050006031960493,0.00046920119538339,0.0006841836057182501
adaptive,random,0.186,0.992,0.8111481798738586,0.28945094323254716,0.2967454265724122,0.00043629123404082996,0.0006792098714689518
adaptive,tstat,0.049,0.0525,0.6981339855654696,0.07084929648820101,0.0822817328330256,0.0031900449972676105,0.0065985706760363
adaptive,tstat,0.0525,0.0551,0.7044225192163168,0.07615564973492188,0.09863098778265858,0.00787397183949505,0.00790171566442012
adaptive,tstat,0.0551,0.0581,0.6980705130043535,0.06970372832797603,0.08408323280939922,0.009860918019862082,0.011370204593783639
adaptive,tstat,0.0581,0.0615,0.7023979728309291,0.10377427932307434,0.1259969811430087,0.01075048527503555,0.009111658883856361
adaptive,tstat,0.0615,0.0658,0.7024613632861367,0.06593653343925156,0.07815651844180986,0.00659480126345572,0.0069168342773940905
adaptive,tstat,0.0658,0.0704,0.7207899878702623,0.08746586953509912,0.11145649358574983,0.01096927643795699,0.00790200590346633
adaptive,tstat,0.0704,0.0765,0.7085493006151206,0.11001789232053008,0.1295827022874283,0.01307148097752601,0.00933613520083314
adaptive,tstat,0.0765,0.0849,0.7150966978577086,0.11837759961712824,0.1413870778149085,0.01046345184430438,0.00691852462060139
adaptive,tstat,0.0849,0.096,0.7434834810037618,0.1489270052925932,0.18620600511002067,0.01085237993248319,0.006882657436253539
adaptive,tstat,0.096,0.109,0.7334044955301786,0.09373609011958738,0.12168929891440047,0.0058642557201124,0.012789380741987289
adaptive,tstat,0.109,0.131,0.7531285079258174,0.13461530969021135,0.15596580869901308,0.00031319874592863114,0.0070333378510961594
adaptive,tstat,0.131,0.186,0.7645806846219598,0.15303891736663075,0.18788000957825432,0.009062255085134549,0.00915220901608885
adaptive,tstat,0.186,0.992,0.8105686969615036,0.24147877369898355,0.282124682079971,0.0010320617813740496,0.00412437405713409
baseline,delta,0.049,0.0525,0.6930957335844573,0.027474804093144078,0.03618889496574486,0.03121777778014457,0.0332637234717927
baseline,delta,0.0525,0.0551,0.7030512076600045,0.04598101520518226,0.0553292833888477,0.058289893552449824,0.041501011066486446
baseline,delta,0.0551,0.0581,0.6910313506199534,0.03767780405424281,0.05027565364182066,0.03026171053701062,0.026939950706281347
baseline,delta,0.0581,0.0615,0.7159348624797406,0.06676090060890064,0.08598144398716412,0.10849572395977232,0.09425725813456376
baseline,delta,0.0615,0.0658,0.7035732671532445,0.04221998129130876,0.054532403459436364,0.05830974979183926,0.04102023398686172
baseline,delta,0.0658,0.0704,0.7255966971739725,0.055456389680033545,0.07118501580448118,0.0691248211599021,0.07074796461124519
baseline,delta,0.0704,0.0765,0.719722569822879,0.070508034997904,0.09320101809847844,0.10386366128300872,0.08396357898359581
baseline,delta,0.0765,0.0849,0.7319950047494541,0.09929414368867714,0.12039267304581873,0.11719656358876876,0.0854948710153338
baseline,delta,0.0849,0.096,0.7635252444962747,0.12137174334592878,0.1485959371657822,0.15035165235608855,0.12240714948190312
baseline,delta,0.096,0.109,0.7279911210950607,0.039385033034356996,0.046872628559131,0.05029279590978928,0.05266641481633384
baseline,delta,0.109,0.131,0.7433500674975786,0.02504661867899729,0.03236443616995799,0.03533102106078892,0.05263919037510312
baseline,delta,0.131,0.186,0.7702389957399811,0.09541268327726904,0.1184248024142092,0.10340985712484832,0.09142186197593677
baseline,delta,0.186,0.992,0.8064780730938464,0.09294897137985692,0.12667294563501094,0.061220935704667676,0.06419111791750973
baseline,random,0.049,0.0525,0.6982163939755254,0.0679741537202755,0.08382687270564873,-0.0001654111907794166,-0.00024268998428046001
baseline,random,0.0525,0.0551,0.7037079519812589,0.07804402959242851,0.08704393484642683,-0.00015129158204787004,0.0002050507294569083
